stdgCd,lclgvNm,rteId,vhclNo,gthrDt,rteNo,lat,lot,oprDrct,oprSpd,evtCd,evtType,totDt
4686000000,전라남도 함평군,104,251029,2026-03-20 00:00:00,500,35.0620956400,126.5238571200,15,0,,,2026-03-20 08:39:01
4686000000,전라남도 함평군,104,251038,2026-03-25 00:00:00,500,35.0621643100,126.5234603900,50,34,,,2026-03-25 12:15:01
4686000000,전라남도 함평군,104,251039,2026-04-06 00:00:00,500,35.0626335100,126.5233459500,271,22,,GPS,2026-04-06 08:33:01
4686000000,전라남도 함평군,104,251040,2026-03-19 00:00:00,500,35.0621032700,126.5235977200,176,0,,,2026-03-19 08:36:00
4686000000,전라남도 함평군,104,251043,2026-03-18 00:00:00,500,35.0621376000,126.5235137900,248,0,,,2026-03-18 13:36:01
4686000000,전라남도 함평군,104,251045,2026-03-30 00:00:00,500,35.0621604900,126.5237350500,197,17,,GPS,2026-03-30 13:38:01
4686000000,전라남도 함평군,104,251046,2026-04-03 00:00:00,500,35.0621337900,126.5235824600,144,0,,GPS,2026-04-03 12:11:01
4686000000,전라남도 함평군,106,251000,2026-04-03 00:00:00,500,35.1616478000,126.8778381300,250,18,,GPS,2026-04-03 18:11:01
4686000000,전라남도 함평군,106,251005,2026-04-05 00:00:00,500,35.1616821300,126.8818206800,251,0,,GPS,2026-04-05 14:32:01
4686000000,전라남도 함평군,106,251006,2026-04-03 00:00:00,500,35.0623550400,126.5235519400,90,0,,GPS,2026-04-03 16:16:01
4686000000,전라남도 함평군,106,251008,2026-04-04 00:00:00,500,35.1633300800,126.8499374400,25,50,,GPS,2026-04-04 14:26:01
4686000000,전라남도 함평군,106,251012,2026-03-13 00:00:00,500,35.1616706800,126.8812942500,273,0,,,2026-03-13 18:08:01
4686000000,전라남도 함평군,106,251019,2026-04-06 00:00:00,500,35.2156715400,126.6259155300,264,32,,GPS,2026-04-06 16:37:01
4686000000,전라남도 함평군,106,251020,2026-03-19 00:00:00,500,35.1519317600,126.8700790400,231,0,,,2026-03-19 11:48:01
4686000000,전라남도 함평군,106,251025,2026-03-29 00:00:00,500,35.1613464400,126.8820495600,98,52,,GPS,2026-03-29 17:45:02
4686000000,전라남도 함평군,106,251027,2026-03-27 00:00:00,500,35.1534271200,126.8768463100,359,28,,GPS,2026-03-27 18:03:01
4686000000,전라남도 함평군,106,251037,2026-03-18 00:00:00,500,35.1613426200,126.8793792700,94,0,,,2026-03-18 17:50:02
4686000000,전라남도 함평군,106,251038,2026-03-26 00:00:00,500,35.2059555100,126.6232528700,194,34,,GPS,2026-03-26 16:31:29
4686000000,전라남도 함평군,106,251043,2026-03-25 00:00:00,500,35.1616897600,126.8817443800,263,0,,,2026-03-25 18:10:02
4686000000,전라남도 함평군,106,251045,2026-04-02 00:00:00,500,35.1616325400,126.8818359400,275,0,,GPS,2026-04-02 18:09:02
4686000000,전라남도 함평군,106,251046,2026-03-23 00:00:00,500,35.2335166900,126.6472549400,282,0,,,2026-03-23 19:42:14
4686000000,전라남도 함평군,11,251016,2026-03-31 00:00:00,100,35.0621185300,126.5234909100,259,0,,GPS,2026-03-31 07:00:02
4686000000,전라남도 함평군,11,252001,2026-03-20 00:00:00,100,35.0620918300,126.5235443100,314,0,,,2026-03-20 06:59:03
4686000000,전라남도 함평군,11,252005,2026-04-02 00:00:00,100,35.0603561400,126.5239028900,158,20,,GPS,2026-04-02 07:02:02
4686000000,전라남도 함평군,11,252006,2026-04-06 00:00:00,100,35.0620460500,126.5234756500,152,0,,GPS,2026-04-06 07:00:12
4686000000,전라남도 함평군,11,252008,2026-03-16 00:00:00,100,35.0624275200,126.5234298700,82,17,,,2026-03-16 07:41:01
4686000000,전라남도 함평군,111,251000,2026-03-23 00:00:00,500,35.1615600600,126.8790893600,274,0,,,2026-03-23 15:39:01
4686000000,전라남도 함평군,111,251005,2026-04-06 00:00:00,500,35.1631050100,126.8499832200,94,0,,GPS,2026-04-06 14:05:01
4686000000,전라남도 함평군,111,251006,2026-04-04 00:00:00,500,35.0622062700,126.5235595700,74,0,,GPS,2026-04-04 11:42:02
4686000000,전라남도 함평군,111,251008,2026-04-04 00:00:00,500,35.0570488000,126.4829025300,214,22,,GPS,2026-04-04 18:46:01
4686000000,전라남도 함평군,111,251020,2026-03-27 00:00:00,500,35.0636444100,126.5221710200,330,0,,GPS,2026-03-27 11:42:01
4686000000,전라남도 함평군,111,251021,2026-03-19 00:00:00,500,35.0624389600,126.5231475800,245,0,,,2026-03-19 19:42:01
4686000000,전라남도 함평군,111,251023,2026-03-30 00:00:00,500,35.0621681200,126.5236969000,160,20,,GPS,2026-03-30 14:26:02
4686000000,전라남도 함평군,111,251025,2026-03-16 00:00:00,500,0E-10,0E-10,201,29,,,2026-03-16 15:26:01
4686000000,전라남도 함평군,111,251027,2026-04-01 00:00:00,500,35.0622253400,126.5235595700,159,0,,GPS,2026-04-01 14:28:01
4686000000,전라남도 함평군,111,251029,2026-03-25 00:00:00,500,35.1621780400,126.8747711200,275,32,,,2026-03-25 15:40:02
4686000000,전라남도 함평군,111,251030,2026-03-28 00:00:00,500,35.0624961900,126.5231170700,64,0,,GPS,2026-03-28 14:05:01
4686000000,전라남도 함평군,111,251036,2026-03-16 00:00:00,500,35.0622749300,126.5236129800,154,0,,,2026-03-16 19:03:01
4686000000,전라남도 함평군,111,251037,2026-04-06 00:00:00,500,35.0623245200,126.5236358600,180,0,,GPS,2026-04-06 14:04:01
4686000000,전라남도 함평군,111,251038,2026-04-03 00:00:00,500,35.0565605200,126.4830856300,14,26,,GPS,2026-04-03 13:44:01
4686000000,전라남도 함평군,111,251039,2026-03-29 00:00:00,500,35.0621757500,126.5235214200,169,0,,GPS,2026-03-29 14:05:01
4686000000,전라남도 함평군,111,251040,2026-04-02 00:00:00,500,35.0622329700,126.5235672000,72,0,,GPS,2026-04-02 14:31:23
4686000000,전라남도 함평군,111,251045,2026-04-05 00:00:00,500,35.0623168900,126.5234756500,13,0,,GPS,2026-04-05 14:23:01
4686000000,전라남도 함평군,111,251046,2026-03-31 00:00:00,500,35.0623664900,126.5229721100,105,0,,GPS,2026-03-31 14:02:01
4686000000,전라남도 함평군,112,251005,2026-04-02 00:00:00,500,35.0580444300,126.5263595600,59,54,,GPS,2026-04-04 05:55:01
4686000000,전라남도 함평군,112,251006,2026-04-04 00:00:00,500,35.0580024700,126.5262985200,105,60,,GPS,2026-04-05 05:42:01
4686000000,전라남도 함평군,112,251008,2026-04-01 00:00:00,500,35.0579643200,126.5263671900,99,17,,GPS,2026-04-03 05:45:06
4686000000,전라남도 함평군,112,251020,2026-03-27 00:00:00,500,35.0581016500,126.5262603800,32,48,,GPS,2026-03-27 20:29:00
4686000000,전라남도 함평군,113,251000,2026-03-30 00:00:00,500,35.0621490500,126.5234527600,74,0,,GPS,2026-03-30 09:20:02
4686000000,전라남도 함평군,113,251005,2026-04-04 00:00:00,500,35.0620803800,126.5237503100,348,0,,GPS,2026-04-04 17:54:01
4686000000,전라남도 함평군,113,251006,2026-04-05 00:00:00,500,35.0622139000,126.5237274200,149,0,,GPS,2026-04-05 16:15:01
4686000000,전라남도 함평군,113,251007,2026-04-03 00:00:00,500,35.0621910100,126.5237808200,171,0,,GPS,2026-04-03 09:00:04
4686000000,전라남도 함평군,113,251008,2026-04-06 00:00:00,500,35.0621528600,126.5237503100,154,0,,GPS,2026-04-06 16:37:01
4686000000,전라남도 함평군,113,251012,2026-03-28 00:00:00,500,35.0620384200,126.5236663800,184,0,,GPS,2026-03-28 09:13:01
4686000000,전라남도 함평군,113,251019,2026-04-02 00:00:00,500,35.0621795700,126.5236053500,205,0,,GPS,2026-04-02 09:00:02
4686000000,전라남도 함평군,113,251020,2026-03-30 00:00:00,500,35.0624008200,126.5235672000,142,8,,GPS,2026-03-30 17:32:01
4686000000,전라남도 함평군,113,251023,2026-04-06 00:00:00,500,35.0620803800,126.5236434900,171,0,,GPS,2026-04-06 09:13:01
4686000000,전라남도 함평군,113,251025,2026-03-23 00:00:00,500,35.0623741100,126.5236663800,327,67,,,2026-03-23 09:10:51
4686000000,전라남도 함평군,113,251030,2026-04-04 00:00:00,500,35.0621566800,126.5237350500,147,0,,GPS,2026-04-04 08:58:01
4686000000,전라남도 함평군,113,251036,2026-03-23 00:00:00,500,35.0620994600,126.5237121600,353,0,,,2026-03-23 16:13:01
4686000000,전라남도 함평군,113,251038,2026-03-27 00:00:00,500,35.0621604900,126.5237197900,169,0,,GPS,2026-03-27 09:05:01
4686000000,전라남도 함평군,113,251039,2026-03-14 00:00:00,500,35.0620880100,126.5236511200,143,0,,,2026-03-14 09:04:01
4686000000,전라남도 함평군,113,251043,2026-04-05 00:00:00,500,35.0621376000,126.5234832800,242,0,,GPS,2026-04-05 09:17:01
4686000000,전라남도 함평군,113,251045,2026-04-01 00:00:00,500,35.0621643100,126.5234298700,353,0,,GPS,2026-04-01 09:17:01
4686000000,전라남도 함평군,12,251016,2026-04-04 00:00:00,100,35.0621109000,126.5234451300,252,71,,GPS,2026-04-04 18:00:02
4686000000,전라남도 함평군,12,252001,2026-03-27 00:00:00,100,35.0620689400,126.5234375000,242,67,,GPS,2026-03-27 11:39:01
4686000000,전라남도 함평군,12,252003,2026-03-15 00:00:00,100,35.0621376000,126.5234756500,264,59,,,2026-03-15 14:15:02
4686000000,전라남도 함평군,12,252005,2026-04-06 00:00:00,100,35.0221862800,126.5325698900,238,61,,GPS,2026-04-06 12:20:02
4686000000,전라남도 함평군,12,252006,2026-04-06 00:00:00,100,35.0619430500,126.5232620200,226,56,,GPS,2026-04-06 08:02:02
4686000000,전라남도 함평군,13,251016,2026-03-31 00:00:00,100,35.0621337900,126.5234909100,243,42,,GPS,2026-03-31 18:44:01
4686000000,전라남도 함평군,13,251032,2026-04-01 00:00:00,100,35.0620994600,126.5234222400,276,51,,GPS,2026-04-01 12:39:01
4686000000,전라남도 함평군,13,252000,2026-04-05 00:00:00,100,35.0647735600,126.5211639400,282,40,,GPS,2026-04-05 12:43:01
4686000000,전라남도 함평군,13,252001,2026-03-28 00:00:00,100,35.0620880100,126.5234527600,253,55,,GPS,2026-03-28 08:01:01
4686000000,전라남도 함평군,13,252002,2026-03-30 00:00:00,100,35.1421814000,126.4200058000,303,49,,GPS,2026-03-30 13:09:01
4686000000,전라남도 함평군,13,252005,2026-04-03 00:00:00,100,35.0621757500,126.5236282300,174,56,,GPS,2026-04-03 17:58:01
4686000000,전라남도 함평군,13,252006,2026-04-04 00:00:00,100,35.0621147200,126.5235137900,309,52,,GPS,2026-04-04 07:59:01
4686000000,전라남도 함평군,13,252007,2026-04-06 00:00:00,100,35.0623283400,126.5236511200,344,56,,GPS,2026-04-06 16:37:01
4686000000,전라남도 함평군,14,251016,2026-04-04 00:00:00,100,35.0815696700,126.5025634800,153,0,,GPS,2026-04-06 16:37:01
4686000000,전라남도 함평군,14,251032,2026-04-03 00:00:00,100,35.0620727500,126.5237350500,152,49,,GPS,2026-04-03 08:57:02
4686000000,전라남도 함평군,14,252000,2026-04-06 00:00:00,100,35.0621452300,126.5234909100,0,54,,GPS,2026-04-06 09:00:03
4686000000,전라남도 함평군,14,252001,2026-04-02 00:00:00,100,35.0629501300,126.5226593000,149,56,,GPS,2026-04-02 11:36:14
4686000000,전라남도 함평군,14,252002,2026-04-01 00:00:00,100,35.0623817400,126.5239944500,14,19,,GPS,2026-04-01 09:01:00
4686000000,전라남도 함평군,14,252005,2026-04-03 00:00:00,100,35.0543594400,126.5293960600,11,46,,GPS,2026-04-03 13:25:01
4686000000,전라남도 함평군,14,252006,2026-04-06 00:00:00,100,35.0620651200,126.5235214200,174,44,,GPS,2026-04-06 06:30:03
4686000000,전라남도 함평군,14,252007,2026-03-30 00:00:00,100,35.0618019100,126.5232772800,161,53,,GPS,2026-03-30 19:55:01
4686000000,전라남도 함평군,16,251016,2026-04-04 00:00:00,100,35.0620384200,126.5234832800,225,39,,GPS,2026-04-04 12:24:01
4686000000,전라남도 함평군,16,251032,2026-04-06 00:00:00,100,35.0620765700,126.5234832800,256,56,,GPS,2026-04-06 15:29:01
4686000000,전라남도 함평군,16,252000,2026-04-01 00:00:00,100,35.0621376000,126.5234832800,251,49,,GPS,2026-04-01 15:31:01
4686000000,전라남도 함평군,16,252001,2026-04-06 00:00:00,100,35.0611381500,126.5235061600,339,66,,GPS,2026-04-06 16:37:01
4686000000,전라남도 함평군,16,252002,2026-03-31 00:00:00,100,35.0618782000,126.5235519400,160,0,,GPS,2026-03-31 15:29:01
4686000000,전라남도 함평군,16,252005,2026-04-06 00:00:00,100,35.0621910100,126.5237503100,183,50,,GPS,2026-04-06 16:37:01
4686000000,전라남도 함평군,16,252006,2026-04-05 00:00:00,100,35.0620803800,126.5234756500,244,62,,GPS,2026-04-05 12:25:01
4686000000,전라남도 함평군,16,252007,2026-03-30 00:00:00,100,35.0622024500,126.5234222400,290,57,,GPS,2026-03-30 15:29:01
4686000000,전라남도 함평군,16,252008,2026-03-23 00:00:00,100,35.0624961900,126.5234680200,264,64,,,2026-03-23 11:41:01
4686000000,전라남도 함평군,17,251032,2026-04-05 00:00:00,100,35.0620460500,126.5234451300,257,36,,GPS,2026-04-05 06:45:02
4686000000,전라남도 함평군,17,252000,2026-04-06 00:00:00,100,35.0621109000,126.5234298700,0,36,,GPS,2026-04-06 10:30:02
4686000000,전라남도 함평군,17,252002,2026-04-02 00:00:00,100,35.0619773900,126.5270843500,94,28,,GPS,2026-04-02 08:34:01
4686000000,전라남도 함평군,17,252005,2026-04-04 00:00:00,100,35.0501937900,126.5327911400,155,56,,GPS,2026-04-04 09:54:01
4686000000,전라남도 함평군,17,252006,2026-03-29 00:00:00,100,35.0244636500,126.5388259900,52,49,,GPS,2026-03-29 10:09:01
4686000000,전라남도 함평군,17,252007,2026-04-05 00:00:00,100,35.0582160900,126.5268859900,173,58,,GPS,2026-04-05 20:43:03
4686000000,전라남도 함평군,17,252008,2026-03-19 00:00:00,100,35.0542450000,126.5291976900,144,52,,,2026-03-19 06:01:01
4686000000,전라남도 함평군,18,251016,2026-04-03 00:00:00,100,35.0621109000,126.5234298700,253,0,,GPS,2026-04-03 07:47:06
4686000000,전라남도 함평군,18,251032,2026-04-05 00:00:00,100,35.0619659400,126.5234375000,245,0,,GPS,2026-04-05 19:10:02
4686000000,전라남도 함평군,18,252000,2026-04-04 00:00:00,100,35.0620498700,126.5235290500,356,0,,GPS,2026-04-04 19:10:02
4686000000,전라남도 함평군,18,252001,2026-03-30 00:00:00,100,35.0620651200,126.5234527600,53,20,,GPS,2026-03-30 18:44:02
4686000000,전라남도 함평군,18,252002,2026-03-31 00:00:00,100,35.0621109000,126.5235595700,245,0,,GPS,2026-03-31 18:59:01
4686000000,전라남도 함평군,18,252005,2026-04-04 00:00:00,100,35.0521316500,126.5309295700,131,0,,GPS,2026-04-04 12:09:01
4686000000,전라남도 함평군,18,252006,2026-04-06 00:00:00,100,35.0666465800,126.5261001600,249,31,,GPS,2026-04-06 15:24:01
4686000000,전라남도 함평군,18,252007,2026-03-30 00:00:00,100,35.0621528600,126.5235137900,157,0,,GPS,2026-03-30 19:00:03
4686000000,전라남도 함평군,18,252008,2026-03-24 00:00:00,100,35.0620842000,126.5233001700,146,0,,,2026-03-24 16:01:01
4686000000,전라남도 함평군,19,251032,2026-04-06 00:00:00,100,35.0621299700,126.5234603900,189,57,,GPS,2026-04-06 11:15:01
4686000000,전라남도 함평군,19,252000,2026-04-06 00:00:00,100,35.0886497500,126.4956054700,318,0,,GPS,2026-04-06 16:11:01
4686000000,전라남도 함평군,19,252002,2026-04-01 00:00:00,100,35.0620422400,126.5234451300,24,66,,GPS,2026-04-01 16:00:02
4686000000,전라남도 함평군,19,252007,2026-04-04 00:00:00,100,35.0621032700,126.5235366800,124,48,,GPS,2026-04-04 11:11:01
4686000000,전라남도 함평군,19,252008,2026-03-16 00:00:00,100,35.0863952600,126.4989700300,31,71,,,2026-03-16 11:23:01
4686000000,전라남도 함평군,2,251016,2026-04-04 00:00:00,100,35.0621109000,126.5234832800,242,0,,GPS,2026-04-04 11:34:01
4686000000,전라남도 함평군,2,252001,2026-04-03 00:00:00,100,35.0621643100,126.5234527600,201,15,,GPS,2026-04-03 06:19:05
4686000000,전라남도 함평군,2,252003,2026-03-20 00:00:00,100,35.0579795800,126.5796432500,75,49,,,2026-03-20 14:45:02
4686000000,전라남도 함평군,2,252005,2026-03-31 00:00:00,100,35.0621986400,126.5234603900,258,0,,GPS,2026-03-31 18:47:01
4686000000,전라남도 함평군,2,252006,2026-04-05 00:00:00,100,35.0621070900,126.5236129800,338,24,,GPS,2026-04-05 11:37:01
4686000000,전라남도 함평군,20,251032,2026-04-01 00:00:00,100,35.0622863800,126.5234375000,87,50,,GPS,2026-04-01 18:10:06
4686000000,전라남도 함평군,20,252000,2026-04-05 00:00:00,100,35.0621223400,126.5235519400,112,41,,GPS,2026-04-05 18:11:01
4686000000,전라남도 함평군,20,252002,2026-03-30 00:00:00,100,0E-10,0E-10,358,45,,GPS,2026-03-30 18:10:02
4686000000,전라남도 함평군,20,252007,2026-04-04 00:00:00,100,35.0782280000,126.5044555700,320,19,,GPS,2026-04-04 18:17:01
4686000000,전라남도 함평군,21,251032,2026-04-05 00:00:00,100,35.0621147200,126.5236434900,321,53,,GPS,2026-04-05 11:15:02
4686000000,전라남도 함평군,21,252000,2026-04-04 00:00:00,100,35.0623207100,126.5230712900,298,44,,GPS,2026-04-04 11:17:01
4686000000,전라남도 함평군,21,252002,2026-04-06 00:00:00,100,35.0619697600,126.5237045300,111,61,,GPS,2026-04-06 16:35:01
4686000000,전라남도 함평군,21,252005,2026-03-28 00:00:00,100,35.0621299700,126.5232696500,340,41,,GPS,2026-03-28 16:13:01
4686000000,전라남도 함평군,21,252007,2026-04-01 00:00:00,100,35.0243377700,126.5389099100,215,43,,GPS,2026-04-01 16:45:01
4686000000,전라남도 함평군,21,252008,2026-03-25 00:00:00,100,35.0620231600,126.5233154300,330,45,,,2026-03-25 16:35:02
4686000000,전라남도 함평군,22,251032,2026-04-05 00:00:00,100,35.0620079000,126.5236282300,149,59,,GPS,2026-04-05 08:35:01
4686000000,전라남도 함평군,22,252000,2026-04-04 00:00:00,100,35.0623207100,126.5236434900,42,47,,GPS,2026-04-04 08:37:01
4686000000,전라남도 함평군,22,252002,2026-04-06 00:00:00,100,0E-10,0E-10,0,80,,GPS,2026-04-06 08:34:01
